InventoryId,Store,City,Brand,Description,Size,onHand,Price,endDate
1_HARDERSFIELD_971,1,HARDERSFIELD,971,Sauza Extra Gold Tequila,Liter,18,15.99,2024-12-31
1_HARDERSFIELD_984,1,HARDERSFIELD,984,Patron XO Cafe Liqueur,750mL,31,25.99,2024-12-31
1_HARDERSFIELD_1001,1,HARDERSFIELD,1001,Baileys 50mL 4 Pack,50mL 4 Pk,0,5.99,2024-12-31
1_HARDERSFIELD_1003,1,HARDERSFIELD,1003,Crown Royal VAP Glass+Coastr,750mL,0,22.99,2024-12-31
1_HARDERSFIELD_1028,1,HARDERSFIELD,1028,Amaretto di Amore VAP,750mL,4,9.99,2024-12-31
1_HARDERSFIELD_1033,1,HARDERSFIELD,1033,Chivas Regal w/ 2 Glasses,750mL,4,29.99,2024-12-31
1_HARDERSFIELD_1036,1,HARDERSFIELD,1036,Jameson Trilogy Pack,200mL 3 Pk,4,39.99,2024-12-31
1_HARDERSFIELD_1038,1,HARDERSFIELD,1038,1800 Silver w/ Shot Glasses,750mL,3,21.99,2024-12-31
1_HARDERSFIELD_1060,1,HARDERSFIELD,1060,Jack Daniels Bruins Glass Pk,Liter,0,27.99,2024-12-31
1_HARDERSFIELD_1065,1,HARDERSFIELD,1065,DiSaronno 3/50mls Pack,50mL 3 Pk,1,12.99,2024-12-31
1_HARDERSFIELD_1070,1,HARDERSFIELD,1070,Three Olives Vodka w/3 50mls,750mL + 3/,26,14.99,2024-12-31
1_HARDERSFIELD_1071,1,HARDERSFIELD,1071,Straw Boys Vodka,750mL,60,19.99,2024-12-31
1_HARDERSFIELD_1074,1,HARDERSFIELD,1074,Brothership Whiskey,750mL,30,49.99,2024-12-31
1_HARDERSFIELD_1076,1,HARDERSFIELD,1076,Capt Morgan Jack O Blast,50mL,4,0.99,2024-12-31
1_HARDERSFIELD_1081,1,HARDERSFIELD,1081,Chivas Regal w/2 50mLs,750mL + 2/,18,29.99,2024-12-31
1_HARDERSFIELD_1086,1,HARDERSFIELD,1086,Hennessy VSOP Privilege VAP,750mL,19,46.99,2024-12-31
1_HARDERSFIELD_1093,1,HARDERSFIELD,1093,Old St Andrew 3 Mini Barrels,50mL 3 Pk,16,24.99,2024-12-31
1_HARDERSFIELD_1094,1,HARDERSFIELD,1094,Four Roses Single Barrel Brb,750mL,5,41.99,2024-12-31
1_HARDERSFIELD_1095,1,HARDERSFIELD,1095,Southern Comfort w/Shaker,750mL,27,13.99,2024-12-31
1_HARDERSFIELD_1106,1,HARDERSFIELD,1106,Aberfeldy Single Cask,750mL,8,249.99,2024-12-31
1_HARDERSFIELD_1125,1,HARDERSFIELD,1125,Jack Daniels Equity VAP,750mL,0,26.99,2024-12-31
1_HARDERSFIELD_1127,1,HARDERSFIELD,1127,Granny's Gingerbread Cream,750mL,1,11.99,2024-12-31
1_HARDERSFIELD_1130,1,HARDERSFIELD,1130,Smugglers Notch Bourbon,750mL,10,45.99,2024-12-31
1_HARDERSFIELD_1132,1,HARDERSFIELD,1132,Jack Daniels Honey & Fire Pk,375mL 2 Pk,17,25.99,2024-12-31
1_HARDERSFIELD_1133,1,HARDERSFIELD,1133,Glenmorangie Collection 4 Pk,100mL 4 Pk,0,31.99,2024-12-31
1_HARDERSFIELD_1135,1,HARDERSFIELD,1135,Rebel Reserve Bourbon,750mL,23,19.99,2024-12-31
1_HARDERSFIELD_1136,1,HARDERSFIELD,1136,Malibu 50ml Sampler Pack,250mL,0,5.99,2024-12-31
1_HARDERSFIELD_1148,1,HARDERSFIELD,1148,Old New England Egg Nog,750mL,0,6.99,2024-12-31
1_HARDERSFIELD_1149,1,HARDERSFIELD,1149,Crown Royal Regal Apple,375mL,0,14.99,2024-12-31
1_HARDERSFIELD_1150,1,HARDERSFIELD,1150,Crown Royal Vanilla,1.75L,0,46.99,2024-12-31
1_HARDERSFIELD_1152,1,HARDERSFIELD,1152,Captain Morgan Loco Nut Rum,750mL,0,16.99,2024-12-31
1_HARDERSFIELD_1157,1,HARDERSFIELD,1157,Bailey's Almande-Irish Cream,750mL,0,21.99,2024-12-31
1_HARDERSFIELD_1162,1,HARDERSFIELD,1162,Campeon Reposado Tequila,750mL,0,79.99,2024-12-31
1_HARDERSFIELD_1163,1,HARDERSFIELD,1163,Absolut Lime Vodka,750mL,0,19.99,2024-12-31
1_HARDERSFIELD_1174,1,HARDERSFIELD,1174,Rebel Yell,1.75L,24,19.99,2024-12-31
1_HARDERSFIELD_1178,1,HARDERSFIELD,1178,Evan Williams Black Label B,750mL,12,11.49,2024-12-31
1_HARDERSFIELD_1180,1,HARDERSFIELD,1180,Evan Williams Black Label B,1.75L,11,20.99,2024-12-31
1_HARDERSFIELD_1186,1,HARDERSFIELD,1186,Evan Williams Single Barrel,750mL,13,27.99,2024-12-31
1_HARDERSFIELD_1188,1,HARDERSFIELD,1188,Stolichnaya 80/2 Glass Pack,750mL,17,16.99,2024-12-31
1_HARDERSFIELD_1189,1,HARDERSFIELD,1189,Mad River 3 Pack Revolution,200mL 3 Pk,10,49.99,2024-12-31
1_HARDERSFIELD_1220,1,HARDERSFIELD,1220,Woodford Reserve Bourbon,750mL,22,30.99,2024-12-31
1_HARDERSFIELD_1226,1,HARDERSFIELD,1226,Lexington Bourbon,750mL,7,23.99,2024-12-31
1_HARDERSFIELD_1228,1,HARDERSFIELD,1228,Glenfiddich Ancient RSV 18,750mL,6,94.99,2024-12-31
1_HARDERSFIELD_1231,1,HARDERSFIELD,1231,Jack Daniels No 7 Black,375mL,32,10.99,2024-12-31
1_HARDERSFIELD_1232,1,HARDERSFIELD,1232,Jack Daniels No 7 Black,750mL,37,26.99,2024-12-31
1_HARDERSFIELD_1233,1,HARDERSFIELD,1233,Jack Daniels No 7 Black,1.75L,177,34.99,2024-12-31
1_HARDERSFIELD_1237,1,HARDERSFIELD,1237,Jack Daniels Single Barrel,750mL,70,44.99,2024-12-31
1_HARDERSFIELD_1238,1,HARDERSFIELD,1238,The Glenlivet 12 Yr Single,50mL,48,4.99,2024-12-31
1_HARDERSFIELD_1239,1,HARDERSFIELD,1239,Booker's Bourbon,750mL,12,50.99,2024-12-31
1_HARDERSFIELD_1240,1,HARDERSFIELD,1240,Remy Martin VSOP Gift Pack,750mL,4,34.99,2024-12-31
1_HARDERSFIELD_1244,1,HARDERSFIELD,1244,Jack Daniels Winter Jack,750mL,1,15.99,2024-12-31
1_HARDERSFIELD_1249,1,HARDERSFIELD,1249,Jim Beam Apple,1.75L,10,24.99,2024-12-31
1_HARDERSFIELD_1258,1,HARDERSFIELD,1258,Jim Beam Black,750mL,24,22.99,2024-12-31
1_HARDERSFIELD_1269,1,HARDERSFIELD,1269,Jeffersons Bourbon,750mL,40,25.99,2024-12-31
1_HARDERSFIELD_1271,1,HARDERSFIELD,1271,Jeffersons Reserve Bourbon,750mL,9,49.99,2024-12-31
1_HARDERSFIELD_1273,1,HARDERSFIELD,1273,Jim Beam Choice,1.75L,30,31.99,2024-12-31
1_HARDERSFIELD_1274,1,HARDERSFIELD,1274,No. 14 Bourbon,750mL,0,44.99,2024-12-31
1_HARDERSFIELD_1278,1,HARDERSFIELD,1278,Jim Beam Black,1.75L,24,35.99,2024-12-31
1_HARDERSFIELD_1281,1,HARDERSFIELD,1281,Benchmark Old #8 Bourbon,1.75L,12,17.99,2024-12-31
1_HARDERSFIELD_1282,1,HARDERSFIELD,1282,1792 Small Batch Bourbon,750mL,8,26.99,2024-12-31
1_HARDERSFIELD_1295,1,HARDERSFIELD,1295,Jack Daniels No 7 Black,100mL,2,3.99,2024-12-31
1_HARDERSFIELD_1297,1,HARDERSFIELD,1297,Jim Beam Black,50mL,0,0.99,2024-12-31
1_HARDERSFIELD_1323,1,HARDERSFIELD,1323,Early Times,1.75L,15,17.99,2024-12-31
1_HARDERSFIELD_1330,1,HARDERSFIELD,1330,Grey Goose Glass Pack,1.75L,0,49.99,2024-12-31
1_HARDERSFIELD_1336,1,HARDERSFIELD,1336,Gr Marnier w/Cordial Glasses,750mL,9,27.99,2024-12-31
1_HARDERSFIELD_1342,1,HARDERSFIELD,1342,Kavalan Classic Single Malt,750mL,2,99.99,2024-12-31
1_HARDERSFIELD_1343,1,HARDERSFIELD,1343,Jack Daniels Sinatra Select,Liter,1,165.99,2024-12-31
1_HARDERSFIELD_1345,1,HARDERSFIELD,1345,Basil Hayden Bourbon,750mL,28,37.99,2024-12-31
1_HARDERSFIELD_1346,1,HARDERSFIELD,1346,Knob Creek Bourbon,750mL,145,30.99,2024-12-31
1_HARDERSFIELD_1347,1,HARDERSFIELD,1347,Bakers Bourbon,750mL,6,39.99,2024-12-31
1_HARDERSFIELD_1348,1,HARDERSFIELD,1348,Knob Creek Bourbon,375mL,21,16.99,2024-12-31
1_HARDERSFIELD_1355,1,HARDERSFIELD,1355,Knob Creek Bourbon,50mL,53,3.99,2024-12-31
1_HARDERSFIELD_1358,1,HARDERSFIELD,1358,Knob Creek Bourbon,1.75L,11,59.99,2024-12-31
1_HARDERSFIELD_1359,1,HARDERSFIELD,1359,Knob Creek Rye,750mL,17,29.99,2024-12-31
1_HARDERSFIELD_1365,1,HARDERSFIELD,1365,Stoli Mini Bar 5/50mLs Pack,50mL 5 Pk,22,7.99,2024-12-31
1_HARDERSFIELD_1366,1,HARDERSFIELD,1366,Red Stag by Jim Beam,50mL,245,1.29,2024-12-31
1_HARDERSFIELD_1373,1,HARDERSFIELD,1373,Jim Beam Honey,750mL,47,14.99,2024-12-31
1_HARDERSFIELD_1375,1,HARDERSFIELD,1375,Jim Beam,750mL,54,16.99,2024-12-31
1_HARDERSFIELD_1376,1,HARDERSFIELD,1376,Jim Beam,1.75L,179,20.99,2024-12-31
1_HARDERSFIELD_1377,1,HARDERSFIELD,1377,Jim Beam Honey,1.75L,3,24.99,2024-12-31
1_HARDERSFIELD_1378,1,HARDERSFIELD,1378,Jim Beam,375mL,33,9.49,2024-12-31
1_HARDERSFIELD_1379,1,HARDERSFIELD,1379,Jim Beam Traveler,750mL,38,16.99,2024-12-31
1_HARDERSFIELD_1380,1,HARDERSFIELD,1380,Bulleit 95 Rye,1.75L,20,47.99,2024-12-31
1_HARDERSFIELD_1382,1,HARDERSFIELD,1382,Makers 46,750mL,1,37.99,2024-12-31
1_HARDERSFIELD_1384,1,HARDERSFIELD,1384,Bulleit 95 Rye,750mL,109,25.99,2024-12-31
1_HARDERSFIELD_1385,1,HARDERSFIELD,1385,Makers Mark,750mL,46,24.99,2024-12-31
1_HARDERSFIELD_1386,1,HARDERSFIELD,1386,George Dickel No 8 Bourbon,750mL,12,20.99,2024-12-31
1_HARDERSFIELD_1388,1,HARDERSFIELD,1388,Red Stag by Jim Beam,1.75L,9,24.99,2024-12-31
1_HARDERSFIELD_1389,1,HARDERSFIELD,1389,Makers Mark,50mL,78,2.99,2024-12-31
